goal,dish_name,key_nutrient,price,priority
Набор мышечной массы,Паста с морскими продуктами,Белок (187% нормы),520,1
Набор мышечной массы,Стейк из куриной грудки,Белок (136% нормы),420,2
Набор мышечной массы,Куриный суп,Белок (136% нормы),280,3
Набор мышечной массы,Куриное филе с брокколи,Белок (106% нормы),480,4
Похудение (кето),Паста с морскими продуктами,Углеводы (0.5g),520,1
Похудение (кето),Стейк из куриной грудки,Углеводы (11.3g),420,2
Похудение (кето),Лосось на гриле,Углеводы (4.7g),550,3
Похудение (кето),Куриное филе с брокколи,Углеводы (7.3g),480,4
Иммунитет,Овощной салат с орехами,Витамин C (212% нормы),300,1
Иммунитет,Стейк из куриной грудки,Витамин C (116% нормы),420,2
Иммунитет,Куриное филе с брокколи,Витамин C (99% нормы),480,3
Иммунитет,Омлет с овощами,Витамин C (71% нормы),350,4
Щитовидная железа,Куриный суп,Селен (287% нормы),280,1
Щитовидная железа,Стейк из куриной грудки,Селен (287% нормы),420,2
Щитовидная железа,Паста с морскими продуктами,Селен (286% нормы),520,3
Щитовидная железа,Куриное филе с брокколи,Селен (215% нормы),480,4
Сердце & Мозг,Лосось на гриле,Омега-3 жиры,550,1
Сердце & Мозг,Паста с морскими продуктами,Омега-3 жиры (белок+жиры),520,2
Сердце & Мозг,Салат со шпинатом и миндалем,Омега-3 (грецкие орехи),320,3
Бюджетный вариант,Куриный суп,Цена + белок (280₽ за 67.9g),280,1
Бюджетный вариант,Овощной салат,Цена (300₽),300,2
Бюджетный вариант,Салат со шпинатом и миндалем,Цена (320₽),320,3
