nutrient_id,amount,unit_name,source
1003,83.5,G,MP_2.3.1.0253-21
1004,87.0,G,WHO
1005,350.0,G,MP_2.3.1.0253-21
1079,30.0,G,WHO
1162,82.5,MG,MP_2.3.1.0253-21
1165,1.5,MG,Rospotrebnadzor
1166,1.7,MG,Rospotrebnadzor
1167,20.0,MG,Rospotrebnadzor
1175,2.0,MG,Rospotrebnadzor
1178,3.0,MCG,Rospotrebnadzor
1106,800.0,MCG,Rospotrebnadzor
1114,10.0,MCG,WHO
1109,15.0,MG,WHO
1185,120.0,MCG,WHO
1190,400.0,MCG,Rospotrebnadzor
1087,1000.0,MG,Rospotrebnadzor
1089,14.0,MG,Rospotrebnadzor
1090,400.0,MG,Rospotrebnadzor
1091,1000.0,MG,Rospotrebnadzor
1092,3500.0,MG,Rospotrebnadzor
1093,2000.0,MG,WHO
1095,12.0,MG,Rospotrebnadzor
1098,2.0,MG,Rospotrebnadzor
1101,5.0,MCG,Rospotrebnadzor
1103,70.0,MCG,RospotrebnadzoR
